AT,V,AP,RH,PE
15.36,42.16,1024.07,73.17,463.26
25.18,63.36,1020.04,59.08,444.37
05.11,39.04,1012.16,92.14,488.56
21.26,57.32,1010.24,77.04,446.48
11.22,37.05,1009.23,97.02,473.09
26.27,59.44,1012.23,59.17,444.07
16.29,44.36,1014.02,75.24,467.35
09.48,45.11,1019.12,66.43,478.42
15.04,45,1022.18,41.25,476.38
12.14,43.56,1015.14,71.12,477.05
18.39,44.12,1009.04,75.04,453.02
20.14,47.33,1015.06,64.22,454.39
24.34,73.05,1011.31,84.15,440.29
26.11,58.59,1013.17,62.23,451.28
26.19,69.34,1009.48,87.59,434.39
21.42,44.19,1016.16,43.08,462.19
18.21,45,1023.26,49.24,467.54
11.04,42.14,1022.06,77.51,477.02
14.45,53.15,1024.37,63.59,460.25
14.37,38.47,1015.15,55.28,464.03
18.16,42.42,1009.09,66.26,468.27
05.41,40.07,1019.16,65.17,495.24
08.16,42.28,1008.52,83.31,483.08
27.23,63.09,1014.03,47.19,444.01
27.36,48.06,1003.18,55.33,436.06
27.47,71.12,1010.37,75.02,443.25
14.06,39.31,1011.11,72.52,464.16
08.31,40.36,1023.57,88.44,475.52
06.21,36.19,1012.14,92.28,484.41
30.53,65.18,1013.09,42.25,438.29
00.27,64.34,1019.02,44.28,445.11
26.09,58.41,1014.04,64.58,439.26
29.27,67.25,1011.11,63.25,441.38
27.38,74.16,1010.08,79.01,437.05
25.21,64.34,1019.16,44.51,444.26
13.15,44.03,1007.29,89.46,466.26
25.06,64.13,1011.04,74.52,444.37
16.38,47.45,1010.08,89.26,451.09
14.31,39.35,1015.09,75.51,469.02
23.18,51.03,1012.04,79.04,449.26
22.47,47.45,1008.02,77.05,447.14
13.39,45.25,1017.24,80.44,469.18
09.28,41.54,1018.33,80.29,482.08
12.22,43.26,1014.12,88.28,476.07
10.27,41.04,1021.03,84.06,475.39
23.32,64.34,1019.28,43.09,444.22
16,38.27,1020.24,78.41,461.33
21.22,43.43,1011.36,61.07,448.06
13.46,45.11,1014.51,50,474.06
09.39,40.11,1029.14,77.29,473.05
31.07,73.05,1010.58,44.06,432.06
13.22,39.02,1019.11,83.08,467.41
32.57,79.32,1011.06,66.47,430.12
08.11,42.18,1015.22,93.09,474.02
14.32,39.39,1013.34,80.52,472.21
23.04,59.43,1010.23,69.39,443.39
27.31,64.44,1015.05,57.27,443.17
06.31,39.33,1010.18,95.53,491.49
25.26,61.08,1014.08,72.12,447.46
28.37,59.24,1002.25,58.28,446.11
26.08,52.03,1007.03,63.34,442.44
29.01,66.11,1014.01,48.07,446.22
12.18,40.01,1017.07,92.27,471.49
14.16,46.27,1009.29,87.27,463.05
25.05,59.19,1016.02,64.04,440.01
28.26,65.34,1014.56,43.04,441.03
21.39,63.36,1019.49,72.24,453.08
07.26,41.09,1020.43,90.22,475.31
10.54,34.03,1019.11,74,479.17
28.11,74.34,998.14,72.25,434.02
23.11,68.03,1018.23,87.02,438.31
07.51,41.01,1025.01,97.41,478.01
26.46,75.07,1017.05,84.44,432.05
29.34,74.34,998.58,81.55,430.57
10.32,42.28,1009.22,76.06,481.09
23.14,61.02,1009.56,79.41,445.56
13.48,40.25,1013.11,59.31,476.14
25.52,70.15,1010.36,90.06,435.12
21.58,67.25,1017.39,79,446.15
28.06,77.26,1001.31,69.47,437.04
27.36,69.45,1014.29,51.47,437.09
12.29,42.18,1016.53,83.13,469.15
16.26,43.02,1012.18,40.33,466.06
14.27,45.08,1024.42,82.09,465.48
24.09,74.08,1015.33,94.55,441.34
20.45,69.45,1012.53,92.21,442.23
15.07,39.03,1019,64.02,464.07
33.12,70.15,1009.06,49.35,438.39
18.23,59.36,1015.55,70.01,459.12
35.56,69.34,1006.56,39.15,430.09
18.36,51.43,1010.57,90.17,459.08
26.35,64.05,1010.21,81.24,434.03
26.32,61.35,1015.02,48.46,443.24
08.01,42.06,1014.49,77.12,485.13
20.03,53.12,1025.09,51.16,459.12
20.02,67.32,1012.05,76.34,445.31
10.08,41.12,1022.07,67.03,480.08
27.23,66.48,1005.23,52.38,432.55
23.37,64.17,1013.42,76.44,444.26
19.14,59.21,1018.03,91.55,450.17
15.21,44.09,1017.19,71.09,471.11
23.01,51.03,1012.33,80.05,452.17
11.12,41.38,1021.06,64.17,478.29
29.46,72.34,1007.36,62.26,428.54
